Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Turkey,TUR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2007466260893.39
Turkmenistan,TKM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,95561023141.4276
Turks and Caicos Islands,TCA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Tuvalu,TUV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,41796670.5130282
Uganda,UGA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,75484628669.2301
Ukraine,UKR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,352885130449.967
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,676843708906.406
United Kingdom,GBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2798058628783.66
United States,USA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,18624475000000
Uruguay,URY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,74631532182.5715
Uzbekistan,UZB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,207415249229.281
Vanuatu,VUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,832991141.104063
"Venezuela, RB",VEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Vietnam,VNM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,595368159347.916
Virgin Islands (U.S.),VIR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
West Bank and Gaza,PSE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,23257194428.3299
"Yemen, Rep.",YEM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,44001952193.3262
Zambia,ZMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,65347897038.6141
Zimbabwe,ZWE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,32738155189.5175
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/14/2018,,,,
